"date","home_team","away_team","home_score","away_score"
"2003-09-24","Norway","Brazil","1","4"
"2003-09-25","China PR","Australia","1","1"
"2003-09-27","Switzerland","Italy","0","1"
"2003-09-27","Canada","Japan","3","1"
"2003-09-27","Argentina","Germany","1","6"
"2003-10-01","Brazil","Sweden","1","2"
"2003-10-01","United States","Norway","1","0"
"2003-10-05","United States","Germany","0","3"
"2003-10-05","Sweden","Canada","2","1"
"2003-10-12","Germany","Sweden","2","1"
"2003-10-18","Denmark","Netherlands","3","0"
"2003-11-16","Spain","Norway","0","2"
"2004-01-30","Sweden","United States","0","3"
"2004-01-30","China PR","Canada","2","1"
"2004-02-01","Sweden","Canada","3","1"
"2004-02-03","Canada","United States","0","2"
"2004-02-03","China PR","Sweden","2","2"
"2004-03-14","Denmark","Sweden","0","1"
"2004-03-14","United States","France","5","1"
"2004-03-14","Italy","China PR","1","0"
"2004-03-16","Sweden","France","0","3"
"2004-03-16","Norway","Italy","3","0"
"2004-03-18","Norway","China PR","0","0"
"2004-03-20","Portugal","Denmark","0","1"
"2004-03-20","France","Italy","3","3"
"2004-04-24","Switzerland","Sweden","0","2"
"2004-05-22","Denmark","Spain","2","0"
"2004-05-27","Denmark","Norway","2","1"
"2004-06-26","Italy","Sweden","2","1"
"2004-08-11","Germany","China PR","8","0"
"2004-08-11","Brazil","Australia","1","0"
"2004-08-14","Japan","Nigeria","0","1"
"2004-08-17","Sweden","Nigeria","2","1"
"2004-08-20","Germany","Nigeria","2","1"
"2004-08-20","United States","Japan","2","1"
"2004-08-20","Sweden","Australia","2","1"
"2004-08-23","United States","Germany","2","1"
"2004-10-02","Norway","Spain","2","0"
"2005-01-28","Germany","Australia","0","1"
"2005-01-30","China PR","Australia","3","0"
"2005-02-01","China PR","Germany","0","2"
"2005-03-09","Norway","China PR","2","1"
"2005-03-09","Sweden","Germany","1","2"
"2005-03-11","Germany","Norway","4","0"
"2005-03-11","Portugal","England","0","4"
"2005-03-13","China PR","Germany","0","2"
"2005-03-13","Sweden","Norway","1","1"
"2005-03-15","Norway","Denmark","2","1"
"2005-03-15","Sweden","France","2","3"
"2005-03-15","Germany","United States","0","1"
"2005-06-05","Sweden","Denmark","1","1"
"2005-06-08","England","Denmark","1","2"
"2005-06-09","Norway","France","1","1"
"2005-06-11","England","Sweden","0","1"
"2005-06-12","Vietnam","Philippines","6","1"
"2005-06-16","Sweden","Norway","2","3"
"2006-01-18","Norway","United States","1","3"
"2006-01-20","China PR","Norway","3","1"
"2006-01-22","France","Norway","1","1"
"2006-01-22","China PR","United States","0","2"
"2006-03-09","Norway","Sweden","0","0"
"2006-03-09","Denmark","France","2","2"
"2006-03-09","Portugal","Republic of Ireland","0","1"
"2006-03-11","Denmark","United States","0","5"
"2006-03-13","United States","France","4","1"
"2006-03-13","Denmark","China PR","0","6"
"2006-03-15","Denmark","Republic of Ireland","4","0"
"2006-03-15","Sweden","France","1","0"
"2006-03-15","Germany","United States","0","0"
"2006-07-16","Australia","South Korea","4","0"
"2006-07-23","China PR","Japan","0","1"
"2006-07-30","Australia","China PR","2","2"
"2006-11-02","Australia","Denmark","1","2"
"2006-11-03","Nigeria","South Africa","2","0"
"2006-11-18","Argentina","Colombia","6","0"
"2006-11-22","Canada","Jamaica","4","0"
"2006-11-26","Argentina","Brazil","2","0"
"2006-11-26","United States","Canada","2","1"
"2007-01-26","United States","Germany","0","0"
"2007-01-30","China PR","United States","0","2"
"2007-01-30","England","Germany","0","0"
"2007-03-07","France","Denmark","0","4"
"2007-03-07","Germany","Norway","1","2"
"2007-03-07","United States","China PR","2","1"
"2007-03-07","Portugal","Republic of Ireland","1","1"
"2007-03-09","France","Germany","1","0"
"2007-03-09","Portugal","Italy","0","1"
"2007-03-12","France","Norway","1","0"
"2007-03-14","Italy","Germany","1","0"
"2007-03-14","Sweden","France","3","1"
"2007-04-12","Germany","Netherlands","5","1"
"2007-05-05","Italy","Sweden","0","2"
"2007-05-09","Switzerland","Netherlands","2","2"
"2007-09-11","Japan","England","2","2"
"2007-09-12","Norway","Canada","2","1"
"2007-09-12","New Zealand","Brazil","0","5"
"2007-09-14","Argentina","Japan","0","1"
"2007-09-14","England","Germany","0","0"
"2007-09-15","Australia","Norway","1","1"
"2007-09-15","China PR","Brazil","0","4"
"2007-09-17","England","Argentina","6","1"
"2007-09-20","Australia","Canada","2","2"
"2007-09-20","China PR","New Zealand","2","0"
"2007-09-20","Brazil","Denmark","1","0"
"2007-09-23","Brazil","Australia","3","2"
"2007-09-30","Norway","United States","1","4"
"2007-10-27","Denmark","Portugal","5","1"
"2007-11-01","Netherlands","Germany","0","1"
"2008-01-16","United States","Canada","4","0"
"2008-01-18","China PR","Canada","0","0"
"2008-02-16","Italy","Republic of Ireland","4","1"
"2008-03-05","Germany","Denmark","0","1"
"2008-03-05","Norway","Italy","4","2"
"2008-03-05","Japan","Netherlands","3","1"
"2008-03-10","Sweden","Germany","0","2"
"2008-03-10","China PR","Italy","0","2"
"2008-03-10","Netherlands","United States","0","2"
"2008-03-12","Portugal","China PR","1","1"
"2008-03-12","Sweden","Italy","3","0"
"2008-03-12","Germany","Norway","0","2"
"2008-03-12","Netherlands","Japan","1","2"
"2008-05-07","Sweden","Italy","1","0"
"2008-05-28","Vietnam","China PR","0","1"
"2008-05-29","Japan","South Korea","1","3"
"2008-06-05","Japan","China PR","1","3"
"2008-06-08","Australia","Japan","0","3"
"2008-06-16","South Korea","Canada","1","3"
"2008-06-16","Argentina","New Zealand","0","1"
"2008-06-19","Australia","Brazil","1","0"
"2008-06-25","Republic of Ireland","Sweden","0","5"
"2008-08-06","Argentina","Canada","1","2"
"2008-08-06","China PR","Sweden","2","1"
"2008-08-06","Norway","United States","2","0"
"2008-08-09","Nigeria","Germany","0","1"
"2008-08-12","Sweden","Canada","2","1"
"2008-08-12","United States","New Zealand","4","0"
"2008-08-15","United States","Canada","2","1"
"2008-08-15","Brazil","Norway","2","1"
"2008-08-15","Sweden","Germany","0","2"
"2008-08-18","Brazil","Germany","4","1"
"2008-08-21","Germany","Japan","2","0"
"2008-08-21","Brazil","United States","0","1"
"2008-08-30","Netherlands","Switzerland","1","1"
"2008-10-01","Sweden","Republic of Ireland","1","0"
"2008-10-02","Spain","England","2","2"
"2008-10-30","Netherlands","Spain","2","0"
"2009-01-10","China PR","New Zealand","6","0"
"2009-01-12","South Korea","New Zealand","4","3"
"2009-03-05","Canada","New Zealand","1","1"
"2009-03-09","Sweden","Germany","3","2"
"2009-03-10","New Zealand","Netherlands","2","0"
"2009-03-11","United States","Sweden","1","1"
